id,system,status,attempts,errors_attempt_1,errors_attempt_2,drug,indication,positive_effect,adverse_reaction,evidence,evidence_not_in_text,items_without_evidence,items_not_in_text,prompt_tokens,completion_tokens,seconds,gold_drug,gold_indication,gold_positive_effect,gold_adverse_reaction,text
2424525,version_1,valid,1,,,Когитум,отсутствие речи у ребенка,,эмоциональное возбуждение | беспокойство ребенка | проблемы со сном,"По назначению невролога из-за жалоб на отсутствие речи у ребенка (нам 3 года) начали принимать Когитум. | ребенок весь день ""стоит на ушах"", угомонить невозможно | у ребенка проходил в ритме ракеты | весь день у ребенка проходил в ритме ракеты, а у меня в нервотрепке",0,2,0,449,180,9.01,Когитум,отсутствие речи,,стоит на ушах | угомонить невозможно | сон днем забыли | беготня по дому | прыжки с дивана на пол | кувырки | вымотанный,"По назначению невролога из-за жалоб на отсутствие речи у ребенка (нам 3 года) начали принимать Когитум.
Пить нужно было по пол ампулы 2 раза в день, строго до 2-х часов дня, врач предупредил что на фоне приема может быть эмоциональное возбуждение, поэтому пить только в первой половине дня.
В первые дни приема не замечала никаких изменений, результатов.
Примерно с середины упаковки началось... Ребенок весь день ""стоит на ушах"", угомонить невозможно, про сон днем забыли (хотя всегда укладывала спать днем, засыпал без проблем), постоянная беготня по дому, прыжки с дивана на пол, кувырки и т. д. Весь день у ребенка проходил в ритме ракеты, а у меня в нервотрепке: ""не прыгай-шею свернешь, хватит скакать и все в этом духе"".
К вечеру вымотанный, ложился спать.
В общем пока допил всю упаковку, я думала, что помощь невролога нужна уже больше мне чем сыну.
На развитие речи результата так никакого и не было и нет (уже прошло 3 месяца после приема)."
2424525,final,valid,1,,,Когитум,отсутствие речи,,эмоциональное возбуждение | беспокойство | проблемы со сном,"началось... Ребенок весь день ""стоит на ушах"", угомонить невозможно, про сон днем забыли (хотя всегда укладывала спать днем, засыпал без проблем), постоянная беготня по дому, прыжки с дивана на пол, кувырки и т. д. | Весь день у ребенка проходил в ритме ракеты, а у меня в нервотрепке: ""не прыгай-шею свернешь, хватит скакать и все в этом духе"". | К вечеру вымотанный, ложился спать. | На развитие речи результата так никакого и не было и нет (уже прошло 3 месяца после приема).",0,3,1,1493,254,14.03,Когитум,отсутствие речи,,стоит на ушах | угомонить невозможно | сон днем забыли | беготня по дому | прыжки с дивана на пол | кувырки | вымотанный,"По назначению невролога из-за жалоб на отсутствие речи у ребенка (нам 3 года) начали принимать Когитум.
Пить нужно было по пол ампулы 2 раза в день, строго до 2-х часов дня, врач предупредил что на фоне приема может быть эмоциональное возбуждение, поэтому пить только в первой половине дня.
В первые дни приема не замечала никаких изменений, результатов.
Примерно с середины упаковки началось... Ребенок весь день ""стоит на ушах"", угомонить невозможно, про сон днем забыли (хотя всегда укладывала спать днем, засыпал без проблем), постоянная беготня по дому, прыжки с дивана на пол, кувырки и т. д. Весь день у ребенка проходил в ритме ракеты, а у меня в нервотрепке: ""не прыгай-шею свернешь, хватит скакать и все в этом духе"".
К вечеру вымотанный, ложился спать.
В общем пока допил всю упаковку, я думала, что помощь невролога нужна уже больше мне чем сыну.
На развитие речи результата так никакого и не было и нет (уже прошло 3 месяца после приема)."
267729,version_1,valid,1,,,,,,обильный ринит | воспалилось горло | белый налет на гландах,"После первого же применения у ребенка развился обильный ринит.
Через день воспалилось горло.
На гландах появился белый налет.",0,0,0,176,97,4.75,,,,ринит | воспалилось горло | На гландах появился белый налет,"Хочу поделиться нашим печальным опытом.
После первого же применения у ребенка развился обильный ринит.
Через день воспалилось горло.
На гландах появился белый налет.
Не советую никому... Время использования: сентябрь 2012"
267729,final,valid,1,,,,,,обильный ринит | воспалилось горло | белый налет на гландах,развился обильный ринит | воспалилось горло | На гландах появился белый налет,0,0,0,1220,86,4.68,,,,ринит | воспалилось горло | На гландах появился белый налет,"Хочу поделиться нашим печальным опытом.
После первого же применения у ребенка развился обильный ринит.
Через день воспалилось горло.
На гландах появился белый налет.
Не советую никому... Время использования: сентябрь 2012"
2439706,version_1,invalid,1,"фрагмента evidence ""я пропив остаток, сказала бы, что он мне помог снять нервное напряжение, немного успокоился"" нет в тексте отзыва дословно",,Фармамед Валемидин,проблемы со сном и нервами,сняло нервное напряжение | успокоило,,"мама пропив его несколько дней, перешла на свои традиционные капельки, сказав, что он ей не нравится | я пропив остаток, сказала бы, что он мне помог снять нервное напряжение, немного успокоился",1,4,0,393,144,7.01,боярышника | пустырника | валерианы | Валемидин | димедрола,сном | нервами | нервное напряжение,"помог снять нервное напряжение, немного успокоится",успокоится,"Добрый вечер и приятного времяпровождения.
В силу своего возраста в моей семье часто приходится брать успокоительные капельки -боярышника, пустырника, валерианы и тому подобное.
как-то в один поход в аптеку мне предложили заменить этот ""набор"" на одно - седативное средство от Фармамед Валемидин.
Посмотрев на состав и прочитав аннатацию к лекарству, я взяла его.
Но, увы!
мама пропив его несколько дней, перешла на свои традиционные капельки, сказав, что он ей не нравится.
Возможно, это был каприз, а, возможно, и нет.
Получив его ""по наследству"" и имея свои проблемы со сном и нервами, пропив остаток, сказала бы, что он мне помог снять нервное напряжение, немного успокоится.
К тому же, теперь нашла рецепт и уже приготовила сама настойку состав, который практически повторяет состав данного лекарства, только без димедрола."
2439706,final,valid,1,,,Валемидин,нервное напряжение | проблемы со сном и нервами,сняло нервное напряжение | успокоило,,"он ей не нравится | что он мне помог снять нервное напряжение, немного успокоится",0,2,0,1437,98,6.32,боярышника | пустырника | валерианы | Валемидин | димедрола,сном | нервами | нервное напряжение,"помог снять нервное напряжение, немного успокоится",успокоится,"Добрый вечер и приятного времяпровождения.
В силу своего возраста в моей семье часто приходится брать успокоительные капельки -боярышника, пустырника, валерианы и тому подобное.
как-то в один поход в аптеку мне предложили заменить этот ""набор"" на одно - седативное средство от Фармамед Валемидин.
Посмотрев на состав и прочитав аннатацию к лекарству, я взяла его.
Но, увы!
мама пропив его несколько дней, перешла на свои традиционные капельки, сказав, что он ей не нравится.
Возможно, это был каприз, а, возможно, и нет.
Получив его ""по наследству"" и имея свои проблемы со сном и нервами, пропив остаток, сказала бы, что он мне помог снять нервное напряжение, немного успокоится.
К тому же, теперь нашла рецепт и уже приготовила сама настойку состав, который практически повторяет состав данного лекарства, только без димедрола."
815444,version_1,valid,1,,,Анаферон,профилактическое средство | противовирусное,,мерзкий сладковатый вкус,"Ни противовирусного, ни какого-то другого действия не имеет. | Ни в одной развитой стране не применяется.",0,3,0,408,101,5.82,анаферон,профилактическое | ОРВИ,,,"Этот препарат начали усердно выписывать врачи, когда я еще сама была ребенком.
До сих пор рекомендуют его как профилактическое средство и противовирусное.
Сама его пила и помню мерзкий сладковатый вкус.
Не сказала б, что как-то на ход болезни влияло, просто раньше не было доступной информации о лекарствах, а такие противовирусные новинки давали надежду родителям, что ребенок за 2 дня встанет на ноги.
Родив первого решила изучать каждую пилюльку, прописанную врачом.
Ведь сейчас найти информацию и исследования препаратов не проблема, спасибо мед.
форумам.
Оказалось, что анаферон - пустышка.
Ни противовирусного, ни какого-то другого действия не имеет.
Ни в одной развитой стране не применяется.
Но может иметь побочки.
Детям я это не даю.
Стоит недешево, а эффекта - ноль.
Длится у нас ОРВИ столько же времени, сколько и у тех, кто пьет анаферон.
Общее впечатление : Неэффективен RATING 1 NOTE"
815444,final,valid,1,,,Анаферон,болезни,,,"анаферон - пустышка | Ни противовирусного, ни какого-то другого действия не имеет",0,1,0,1452,65,4.93,анаферон,профилактическое | ОРВИ,,,"Этот препарат начали усердно выписывать врачи, когда я еще сама была ребенком.
До сих пор рекомендуют его как профилактическое средство и противовирусное.
Сама его пила и помню мерзкий сладковатый вкус.
Не сказала б, что как-то на ход болезни влияло, просто раньше не было доступной информации о лекарствах, а такие противовирусные новинки давали надежду родителям, что ребенок за 2 дня встанет на ноги.
Родив первого решила изучать каждую пилюльку, прописанную врачом.
Ведь сейчас найти информацию и исследования препаратов не проблема, спасибо мед.
форумам.
Оказалось, что анаферон - пустышка.
Ни противовирусного, ни какого-то другого действия не имеет.
Ни в одной развитой стране не применяется.
Но может иметь побочки.
Детям я это не даю.
Стоит недешево, а эффекта - ноль.
Длится у нас ОРВИ столько же времени, сколько и у тех, кто пьет анаферон.
Общее впечатление : Неэффективен RATING 1 NOTE"
6275749,version_1,invalid,1,"фрагмента evidence ""температура держалась высокую неделю после выписки из больницы, затем еще месяц"" нет в тексте отзыва дословно",,цевтриаксон | флемрксин салютаб | ликопид,пневмония (прикорневая),температура нормализовалась после приема ликопид,,"температура держалась высокую неделю после выписки из больницы, затем еще месяц",1,5,0,293,108,5.63,цевтриаксон | флемрксин | салютаб | ликопид,"пневмонией | темп поднялась до 37,0 -37,4",продавала 10 дней и все прошло | больше пока не болеем,,"В начале января переболели пневмонией (прикорневой) ребенку 2года 8 мес, кололи цевтриаксон 5 дней в больнице, хотя нужно было 7!
Т к прокололи мало через неделю после выписки темп поднялась до 37,0 -37,4 так держалась еще месяц, ездили по врачам которые прописывали противовирусные и утверждали что это остаточный след, в итоге пропили антибиотик флемрксин салютаб, темп после приема держалась еще какое то время, потом купила ликопид 1 мг, продавала 10 дней и все прошло, больше пока не болеем."
6275749,final,rejected,2,"фрагмента evidence ""температура больше не поднималась"" нет в тексте отзыва дословно","фрагмента evidence ""температура после приема держалась еще какое то время"" нет в тексте отзыва дословно; фрагмента evidence ""температура больше не поднималась"" нет в тексте отзыва дословно",,,,,,0,0,0,2857,166,10.18,цевтриаксон | флемрксин | салютаб | ликопид,"пневмонией | темп поднялась до 37,0 -37,4",продавала 10 дней и все прошло | больше пока не болеем,,"В начале января переболели пневмонией (прикорневой) ребенку 2года 8 мес, кололи цевтриаксон 5 дней в больнице, хотя нужно было 7!
Т к прокололи мало через неделю после выписки темп поднялась до 37,0 -37,4 так держалась еще месяц, ездили по врачам которые прописывали противовирусные и утверждали что это остаточный след, в итоге пропили антибиотик флемрксин салютаб, темп после приема держалась еще какое то время, потом купила ликопид 1 мг, продавала 10 дней и все прошло, больше пока не болеем."
817386,version_1,valid,1,,,таблетки с экстрактом валерианы,острое стрессовое состояние,,,"Этот препарат полностью изготовлен из натурального сырья, что, конечно же, является огромным плюсом. | Но этот самый плюс практически единственный. | Потому как препарат не эффективен. Я это проверяла на себе несколько раз.",0,2,0,429,107,6.4,валерианы,нервное напряжение,,,"У всех нас, наверное, бывают в жизни ситуации, когда мы можем сильно понервничать.
Я не говорю сейчас о каких-то страшных вещах.
Сдача экзамена, поиск работы, недосып, в конце концов, тоже могут вызвать стресс.
И многие из нас в такие моменты могут начать искать способ помочь себе.
Один из вариантов облегчения острого стрессового состояния- это прием специальных растительных препаратов.
Да-да, лучше именно на травках, потому как химические вещества могут вызвать зависимость.
Но сейчас не о том.
А конкретно о таблетках с экстрактом валерианы.
Этот препарат полностью изготовлен из натурального сырья, что, конечно же, является огромным плюсом.
Но этот самый плюс практически единственный.
Потому как препарат не эффективен.
Я это проверяла на себе несколько раз.
Поэтому, дорогие читатели, если уж так случилось, что вы чем-то расстроены, посмотрите кино, почитайте книгу, займитесь спортом, чтобы снять нервное напряжение.
Но только не засоряйте желудок сомнительными таблетками.
Никакой пользы они не принесут.
Общее впечатление : Не эффективны RATING 3 NOTE"
817386,final,valid,1,,,таблетки с экстрактом валерианы,стресс,,,препарат не эффективен | Я это проверяла на себе несколько раз,0,2,0,1473,61,5.03,валерианы,нервное напряжение,,,"У всех нас, наверное, бывают в жизни ситуации, когда мы можем сильно понервничать.
Я не говорю сейчас о каких-то страшных вещах.
Сдача экзамена, поиск работы, недосып, в конце концов, тоже могут вызвать стресс.
И многие из нас в такие моменты могут начать искать способ помочь себе.
Один из вариантов облегчения острого стрессового состояния- это прием специальных растительных препаратов.
Да-да, лучше именно на травках, потому как химические вещества могут вызвать зависимость.
Но сейчас не о том.
А конкретно о таблетках с экстрактом валерианы.
Этот препарат полностью изготовлен из натурального сырья, что, конечно же, является огромным плюсом.
Но этот самый плюс практически единственный.
Потому как препарат не эффективен.
Я это проверяла на себе несколько раз.
Поэтому, дорогие читатели, если уж так случилось, что вы чем-то расстроены, посмотрите кино, почитайте книгу, займитесь спортом, чтобы снять нервное напряжение.
Но только не засоряйте желудок сомнительными таблетками.
Никакой пользы они не принесут.
Общее впечатление : Не эффективны RATING 3 NOTE"
5801796,version_1,invalid,1,"фрагмента evidence ""фармацевт посоветовала пропить курс иммуномодулятора ""ликопид"""" нет в тексте отзыва дословно",,ликопид,повторяющиеся заболевания у ребенка,дочь стала заметно меньше болеть | дочка не заболела к осеннему обострению,,"фармацевт посоветовала пропить курс иммуномодулятора ""ликопид"" | курс мы проходили летом и к осеннему обострению были готовы",1,3,1,444,123,6.83,ликопид | ликопида,,стала заметно меньше болеть | дочка не заболела,,"Начну с того, что когда моя дочь пошла в садик, ничего не предвещало беды, проходили мы успешно ровно 1 месяц и заболели.
Ну я то думаю адаптация и всякое такое, но не тут то было.
Только вылечились и пошли снова в садик проходит неделя и опять заболела и так до каждый раз.
Походит неделю-две и опять на больничный, чем только не лечили и всякими препаратами и народными средствами, но ничего, все осталось по- прежнему.
И вот я как-то пожаловалась фармацевту на такую вот беду(педиатр у нас молодая, сказала, что со временем перерастает, но сил моих больше не было)и она посоветовала пропить курс иммуномодулятора ""ликопид"".
Сначала я отнеслась к этому скептически, но решила попробовать.
Было сказано по одной таблеточке в день и дочь, после курса ликопида, стала заметно меньше болеть.
Курс мы проходили летом и к осеннему обострению были готовы и к моему удивлению дочка не заболела.
Я не говорю, что это панацея, может кому-то не подойдет, но нам помог!!
!"
5801796,final,valid,1,,,ликопид,"болезни, связанные с посещением садика",стало меньше болеть | не заболела к осеннему обострению,,"пропить курс иммуномодулятора ""ликопид"" | дочь, после курса ликопида, стала заметно меньше болеть | к осеннему обострению были готовы и к моему удивлению дочка не заболела",0,1,0,1488,133,7.74,ликопид | ликопида,,стала заметно меньше болеть | дочка не заболела,,"Начну с того, что когда моя дочь пошла в садик, ничего не предвещало беды, проходили мы успешно ровно 1 месяц и заболели.
Ну я то думаю адаптация и всякое такое, но не тут то было.
Только вылечились и пошли снова в садик проходит неделя и опять заболела и так до каждый раз.
Походит неделю-две и опять на больничный, чем только не лечили и всякими препаратами и народными средствами, но ничего, все осталось по- прежнему.
И вот я как-то пожаловалась фармацевту на такую вот беду(педиатр у нас молодая, сказала, что со временем перерастает, но сил моих больше не было)и она посоветовала пропить курс иммуномодулятора ""ликопид"".
Сначала я отнеслась к этому скептически, но решила попробовать.
Было сказано по одной таблеточке в день и дочь, после курса ликопида, стала заметно меньше болеть.
Курс мы проходили летом и к осеннему обострению были готовы и к моему удивлению дочка не заболела.
Я не говорю, что это панацея, может кому-то не подойдет, но нам помог!!
!"
2673885,version_1,valid,1,,,ликопид,ларинготрахеит,,поднялась температура 39°C,"Заболел ларинготрахеитом, спустя 10 дней болезни я начала давать ему ликопид, и сама начала его принимать в дозировке 1 мг. | Посоветовавшись с педиатром, я сразу отменила ребенку этот препарат, на следующий день температура 40, после осмотра врача- диагноз - гнойная ангина",0,0,0,332,168,8.06,ликопид,ларинготрахеитом | температура 39 | температура 40 | гнойная ангина,принимали антибиотик 5 дней и все прошло,,"Ребенок (4 года) с переходом в новый садик начал очень часто болеть.
Заболел ларинготрахеитом, спустя 10 дней болезни я начала давать ему ликопид, и сама начала его принимать в дозировке 1 мг.
У ребенка на 6-ой день поднялась температура 39!
Посоветовавшись с педиатром, я сразу отменила ребенку этот препарат, на следующий день температура 40, после осмотра врача- диагноз - гнойная ангина (( принимали антибиотик 5 дней и все прошло... Непонятно, то ли этот препарат дал такую побочку, так как ребенок сидел дома и никуда не выходил- с больными не контактрировал.
Я пропила 10 дней таблеток детской дозировки, пока не заболела )))"
2673885,final,fixed_by_retry,2,"фрагмента evidence ""давала ему ликопид"" нет в тексте отзыва дословно",,Ликопид,ларинготрахеит,,температура 39,"Посоветовавшись с педиатром, я сразу отменила ребенку этот препарат, на следующий день температура 40",0,2,0,2925,153,8.94,ликопид,ларинготрахеитом | температура 39 | температура 40 | гнойная ангина,принимали антибиотик 5 дней и все прошло,,"Ребенок (4 года) с переходом в новый садик начал очень часто болеть.
Заболел ларинготрахеитом, спустя 10 дней болезни я начала давать ему ликопид, и сама начала его принимать в дозировке 1 мг.
У ребенка на 6-ой день поднялась температура 39!
Посоветовавшись с педиатром, я сразу отменила ребенку этот препарат, на следующий день температура 40, после осмотра врача- диагноз - гнойная ангина (( принимали антибиотик 5 дней и все прошло... Непонятно, то ли этот препарат дал такую побочку, так как ребенок сидел дома и никуда не выходил- с больными не контактрировал.
Я пропила 10 дней таблеток детской дозировки, пока не заболела )))"
822853,version_1,valid,1,,,Валтрекс,,,аллергическую реакцию,"На третий день применения показалось, что вызвал достаточно сильную аллергическую реакцию. | Показалось, что вызвал достаточно серьезную аллергическую реакцию",0,1,0,202,82,4.29,Валтрекс,,,аллергическую реакцию,"На третий день применения показалось, что вызвал достаточно сильную аллергическую реакцию.
Валтрекс мне понравился больше.
Возможно просто попалась подделки.
К тому же он намного дороже.
3 таблетки 1,5 тыс.
руб.!!!
Общее впечатление : Показалось, что вызвал достаточно серьезную аллергическую реакцию RATING 2 NOTE"
822853,final,valid,1,,,Валтрекс,,,аллергическую реакцию,"На третий день применения показалось, что вызвал достаточно сильную аллергическую реакцию",0,1,0,1246,62,3.58,Валтрекс,,,аллергическую реакцию,"На третий день применения показалось, что вызвал достаточно сильную аллергическую реакцию.
Валтрекс мне понравился больше.
Возможно просто попалась подделки.
К тому же он намного дороже.
3 таблетки 1,5 тыс.
руб.!!!
Общее впечатление : Показалось, что вызвал достаточно серьезную аллергическую реакцию RATING 2 NOTE"
884467,version_1,valid,1,,,мазь Виферон,простуда | грипп,пока никто из них не болел,,"сестра, мать троих маленьких детей | педиатр посоветовала использовать мазь Виферон | уже месяц всей семьей мажутся",0,3,0,343,100,5.33,Виферон,простуду | грипп | простудный | гриппозный,,,"Я большой противник всех ... феронов, т. к. они подавляют иммунитет.
Применять их, я считаю, нужно в крайнем случае.
Но тут звонит мне сестра, мать троих маленьких детей.
И рассказывает, что просто невозможно стало: то старший ребенок из школы простуду принесет, вся семья болеет.
То муж на работе грипп подхватит, и снова все болеют.
Среднего даже с садика сняли, невозможно просто.
И вот их педиатр посоветовала использовать мазь Виферон.
Мазать носики всех членам семьи в простудный и гриппозный период.
Уже месяц всей семьей мажутся, и пока никто из них не болел.
Я тоже задумалась об этой мази, но у нас пока необходимости нет.
Общее впечатление : Похоже, и правда помогает от вирусов RATING 3 NOTE"
884467,final,valid,1,,,мазь Виферон,простуда | грипп,никто из семьи не болел,,"Мазать носики всех членам семьи в простудный и гриппозный период | Уже месяц всей семьей мажутся, и пока никто из них не болел",0,1,0,1387,98,5.35,Виферон,простуду | грипп | простудный | гриппозный,,,"Я большой противник всех ... феронов, т. к. они подавляют иммунитет.
Применять их, я считаю, нужно в крайнем случае.
Но тут звонит мне сестра, мать троих маленьких детей.
И рассказывает, что просто невозможно стало: то старший ребенок из школы простуду принесет, вся семья болеет.
То муж на работе грипп подхватит, и снова все болеют.
Среднего даже с садика сняли, невозможно просто.
И вот их педиатр посоветовала использовать мазь Виферон.
Мазать носики всех членам семьи в простудный и гриппозный период.
Уже месяц всей семьей мажутся, и пока никто из них не болел.
Я тоже задумалась об этой мази, но у нас пока необходимости нет.
Общее впечатление : Похоже, и правда помогает от вирусов RATING 3 NOTE"
810713,version_1,valid,1,,,Анаферон,простуды | профилактика,,,Моим двойняшкам уже три года. | Анаферон давала и при простудах и для профилактики. | Одна заболела-вторая нет. | Через три дня болеет и другая. | Все равно заболели!,0,0,0,354,108,5.93,Анаферон,простудах | профилактики | чихании | насморке,,,"Моим двойняшкам уже три года.
Анаферон давала и при простудах и для профилактики.
Одна заболела-вторая нет.
Что делать?
Даю ""Анаферон"" -одной для лечения-другой для профилактики.
Но результата от него я не заметила.
Через три дня болеет и другая.
Один раз ""Анаферон"" давалала целый месяц- по одной таблетке на день.
Якобы для профилактики.
И что вы думаете?
Все равно заболели!
Поэтому я решила что пользы он него нет.
И нечего детям давать всякую гадость просто так(при первом же чихании или насморке).
И давать аптекам и фармацептам на мне зарабатовать!!!
Это лично мое мнение, провереное за три года.
А вы думайте сами, что лучьше для ваших детей.
Общее впечатление : пустышки RATING 2 NOTE"
810713,final,fixed_by_retry,2,"фрагмента evidence ""И что вы думаете? Всем равно заболели!"" нет в тексте отзыва дословно",,Анаферон,простуды | профилактика,,,"Одна заболела-вторая нет. | Даю ""Анаферон"" -одной для лечения-другой для профилактики.",0,1,0,3008,178,9.98,Анаферон,простудах | профилактики | чихании | насморке,,,"Моим двойняшкам уже три года.
Анаферон давала и при простудах и для профилактики.
Одна заболела-вторая нет.
Что делать?
Даю ""Анаферон"" -одной для лечения-другой для профилактики.
Но результата от него я не заметила.
Через три дня болеет и другая.
Один раз ""Анаферон"" давалала целый месяц- по одной таблетке на день.
Якобы для профилактики.
И что вы думаете?
Все равно заболели!
Поэтому я решила что пользы он него нет.
И нечего детям давать всякую гадость просто так(при первом же чихании или насморке).
И давать аптекам и фармацептам на мне зарабатовать!!!
Это лично мое мнение, провереное за три года.
А вы думайте сами, что лучьше для ваших детей.
Общее впечатление : пустышки RATING 2 NOTE"
3188437,version_1,invalid,1,"фрагмента evidence ""Восемь лет назад меня сильно беспокоил ринит неясной этиологии и врач - иммунолог выписала мне суперэффективный гипоаллергенный препарат Полиоксидоний для закапывания в нос."" нет в тексте отзыва дословно",,Полиоксидоний,ринит неясной этиологии,,сильная отечность и заложенность носа,"Восемь лет назад меня сильно беспокоил ринит неясной этиологии и врач - иммунолог выписала мне суперэффективный гипоаллергенный препарат Полиоксидоний для закапывания в нос. | Сообщила об этом врачу, на что был получен категоричный ответ, что быть такого не может. | Чувствовала себя мелким гнусавым слоненком. | И о чудо, дикая реакция на полиоксидоний обнаружилась у маленького ребенка.",1,2,0,441,191,9.51,Полиоксидония | Полиоксидоний,ринит | отечность | заложенность носа | отечности носа,,,"Увидела активную рекламу препарата Полиоксидония и вспомнила о своем опыте его применения.
Опыт был коротким и негативным для меня.
Восемь лет назад меня сильно беспокоил ринит неясной этилогии и врач - иммунолог выписала мне суперэффективный гипоаллергенный препарат Полиоксидоний для закапывания в нос.
Я сразу заметила, что с препарат мне не подходит - появилась сильная отечность и заложенность носа.
Сообщила об этом врачу, на что был получен категоричный ответ, что быть такого не может.
Что ж, врачам, наверно, стоит верить, в особенности докторам наук ) Но, ситуация отечности носа усугублялась и чувствовала себя мелким гнусавым слоненком.
И о чудо, дикая реакция на полиоксидоний обнаружилась у маленького ребенка.
На что я получила комментарий врача, что вероятно производитель начал добавлять в него что-то лишнее.
Напомню, это было восемь лет назад.
Препарат уже в то время был дорогим.
Интересно, до какой степени Полиоксидоний разбодяжен сейчас.
Будьте осторожны в его применении."
