id,text,drug,indication,adverse_reaction
618967,"Когда мой ребенок в грудничковом возрасте первый раз заболел орви, участковый педиатр выписала нам свечи виферон, они давольно дорогие и эффект от них сомнительный.
Но больше всего мне не понравился их размер.
У меня никак не получалось вставить такую большую свечку в крошечную попку младенца.
Это был кошмар и мучение.
Когда ребенок немного подрос, мы уже вызывали частного педиатра.
Она нам выписала Генферон лайт.
Я обнаружила, что эти свечи гораздо меньше по размеру и ребенку вставлять очень просто, он даже почти не замечает.
Я подумала, где же вы были раньше?)
Конечно, эффективность ""феронов"" до сих пор не доказана и ставит под сомнение их эффект.
Но пока врач нам их выписывает, мы надеемся, что они помогают.
Покрейней мере свечи считаются безопасными и ими можно лечить орви у грудничков.
Состав: Интерферон альфа 2b - 125 тыс.
МЕ, таурин 5мг А виферон мы ставим себе взрослым.",виферон | Генферон лайт | Интерферон альфа 2b | таурин,орви,
950351,"Всем доброго времени суток!
Хотел бы поделиться с вами мнение о порошке при простуде Stada ""Гриппостад"".
У меня такой порошок есть всегда в домашней аптечке и при первых же симптомах простуды или гриппа, я сразу выпиваю этот порошок.
Тем самым болезнь проходит легче и быстрее, главное не проморгать тот момент первых симптом заболевания.
В состав порошка входит ""убойная"" доза витамина С, который является главным в борьбе с простудой и гриппом.
Пью его 2-3 раза в день, после еды, и уже буквально после трех дней я выздоравливаю, поэтому лично мне он помогает.
Стоит он недорого, а так как я студент, то для меня это значительный плюс.
Так что рекомендую всем!
Не болейте!
Время использования: 3 дня",Гриппостад,простуде | простуды | гриппа | простудой | гриппом,
255563,"Я мама двоих деток.
Старший ребенок часто болел, ходил в детский сад неделю, максимум две, затем на больничный.
Это был замкнутый круг.
Перепробовали очень много иммуномодуляторов: интерферон, ануферон, афлубин, арбидол, различные настойки.
И поверте, этот список далеко не полный.
Пришло время идти в первый класс и я начала переживать, что мы не сможем учиться так как будем постоянно болеть.
Перечитала много медицинской литературы и выяснилось, что если у человека в крови есть вирус Герпеса (а он у нас есть), то большинство иммуномодуляторов просто бессильны.
Так же я узнала, что ""Ликопид"", один из немногих иммуностимулирующих средств, который действует несмотря на вирус Герпеса.
Так вот, я продавала 2 курса ""Ликопида"" в июле месяце и мой ребенок не болел всю осень и зиму.
Советую попробовать всем родителям, чьи детки часто болеют.
Время использования: 10 дней",интерферон | ануферон | афлубин | арбидол | Ликопид | Ликопида,вирус Герпеса,
2719942,"Всем здравствуйте!
В первый раз, когда ребенок заболел обычным орви, нам сразу же врач навыписывал целый ряд лекарств, в том числе и антибиотик ""бактрим"", обычно должны сразу же выписать к нему Линекс, для улучшения пищеварения, но никто нам ничего не прописал, и сразу же через пару часов у ребенка был понос, все летело напрямую, памперсы не успевала менять, изначально не поняла, что это аллергия на антибиотик, но как отменила, то точно удостоверилась в этом, больше ни в коем случае его давать не буду, это одно мучение и для меня и для ребенка, дочка вообще у меня не переносит, как оказалось антибиотики, сразу наносится удар ей по пищеварению",бактрим | Линекс,орви | улучшения пищеварения,понос | аллергия
806166,"Противовирусное средство Амиксин использовалось мной как препарат против гриппа и ОРВИ.
Заболела достаточно сильно, а выздороветь хотелось как можно быстрее.
Вот и решилась на покупку этого недешевого препарата.
Фармацевт в аптеке расхваливала как могла, ну оно и понятно.
В инструкции по применению написано первые два дня пить по одной таблетке в сутки после еды, после по одной таблетке каждые 48 часов, всего за курс надо выпить шесть таблеток.
После принятия первой таблетки, мне показалось что какой то эффект есть, (наверное, сработало самовнушение), проснувшись на второй день поняла что мне стало еще хуже и болезнь продолжает набирать обороты.
То же самое было и на следующий день и через день.
Поняла что эффект от таблеток ноль и принимать дальше их не стала, перешла на привычное средство, которое еще ни разу меня не подводило, а стоит в пять раз дешевле.",Амиксин,гриппа | ОРВИ,
2538754,"Был сложный период в жизни, нервы шалили не на шутку, по ночам не спала .
Идти больницу времени на это не было.
Посоветовала знакомая попить Афобазол, только не как разовое средство, а курсом.
Эффект от таблеток появился уже через неделю, пропала раздрожительность, плаксивость, стала ко всему относится спокойней.
На месяц мне хватило 2х упаковок, пусть он и дороже многих успокоительных средств, но эффект от него есть.",Афобазол,нервы шалили | ночам не спала | раздрожительность | плаксивость,спокойней
2679540,"Первую прививку АКДС (отечественную), сделали ребенку в 4 мес.
Сразу после прививки у ребенка глаза собрались в кучу... Через 3 часа поднялась температура, но это были цветочки... Темп.
мы сбили... Самое ужасное, то что ребенок орал 5 суток, неистовым криком, его было не успокоить, он плакал даже во сне... Мы плакали с ним вдвоем... Это было оч.
страшно.
Ребенок не узнавал лица.
Вторую прививку мы сделали только через 3 месяца, и она была импортной.
После импортной, сложилось ощущение, будто мы не делали прививку вообще, реакции ""0"".
Не ставьте опыты над детьми, я оч.
сильно жалею что решилась когда-то на отечеств.
прививку.
Многим она подходит... но риск слишком велик.",АКДС,,температура | орал | неистовым криком | не успокоить | плакал даже во сне | не узнавал лица
2671137,"В зимний период я и члены моей семьи начинаем периодически болеть.
Когда повышается температура, начинает болеть горло и начинается ужасная ломота по всему телу, так хочется, что бы все это побыстрее закончилось.
Уже несколько сезонов мы пользуемся порошкообразным лекарством Грипоцитрон ХОТ ""Лимон"" от ООО фармацевтической фирмы ""Здоровье"" Купила я его случайно, даже не знала, что есть такое украинского производства.
Во всех аптеках на самом видном месте стоят такие же лекарства порошкообразные, но известных производителей и ценой выше в 1,5-2 раза.
Купила на авось, попробовать, так как денег было мало с собой.
Попробовала и поняла, что по эффективности Грипоцетрон Хот Лимон абсолютно не уступает дорогим аналогам.","Грипоцитрон ХОТ ""Лимон"" | Грипоцетрон Хот Лимон",повышается температура | болеть горло | ломота по всему телу,
2509783,"У ребенка начался сильный насморк(нам было 2 месяца), спросила у подружки чем лечились, сказала что прописали свечи Виферон 500000 и промывание.
Никогда до этого ни чем подобным не пользовалась.
Сильный насморк у малышки прекратился за 2 дня, я в шоке.
Помню 10 лет назад проторголом (да и вообще много чем) лечила сына, так это все равно, что мертвому припарка.
Так что эффект есть.
Рекомендую эти свечи, только желательно проходить курс полностью, т. е. использовать все 10 штук-это всего 5 дней.
каждые 12 часов.",Виферон | проторголом,насморк,
1031967,"Хорошее средство для удаления симптомов простуды.
Справляется с симптомами быстро, эффективно.
Спасает меня всегда, когда необходимо быстро встать на ноги.
Однако... есть один большой минус для меня при его приеме!
После его приема у меня возникало желание поскорее лечь под теплое одеяло и уснуть.
Приэто у меня не было высокой температуры, особенно высокой, которая сопровождала бы такую реакцию на препарат.
Скорее всего это реакция моего организма на его состав.
Способен вызвать сыпь, которая начинает чесаться и без приема других препаратов(против)аллергии, она не проходила никогда.
Данная реакция была не единоразовая, а именно: на каждое применение АнтиГриппина.
Общее впечатление : Может вызвать аллергию",АнтиГриппина,простуды,желание поскорее лечь | уснуть | сыпь | аллергии | аллергию
877448,"Людям, когда бывает плохо - депрессия, ухудшение, нарушение сна, прибегают к таблеткам, с желанием избавиться от плохого самочувствия.
Конечно - это естественно, но мы не зная о последствиях таких препаратов, не задумываемся, насколько он может навредить нашему здоровью.
Если раньше было лучше, то сейчас качесво препарата оставляет желать лучшего.
Я хотела бы остановиться на Амитриптилине гидрхлорид.
Когда принимаешь его, кружится голова, давление скачет и если принимаешь продолжительное время, самое неприятное попадаешь в зависимость.
не станет лучше и не можешь без него, отечность.
Не лучше ли обратиться к травам (хмель в подушку настои успокоительных трав, валериану и т. д)Мне очень помогла методика Сильва (медитация) при чем когда переживала большое горе, потерю родного человека ( не могла спать, страх).
Думаю надо работать с родсознанием.
Общее впечатление : Лучше не ис пользовать Амитриптилин,от него лучше будет временно.",Амитриптилине гидрхлорид | хмель | валериану | Амитриптилин,депрессия | ухудшение | нарушение сна | плохого самочувствия,кружится голова | давление скачет | зависимость | отечность
